Title,Budget,Year,Genre,Rating,LetterboxdRating,Letterboxd URI,Length,Actors
13 Sins,4000000,2014,Thriller|Horror,3.5,2.92,https://boxd.it/4Ste,93,Mark Webber|Devon Graye|Tom Bower
A Monster Calls,43000000,2016,Animation|Fantasy|Adventure|Family|Drama,5,3.7,https://boxd.it/7DjE,108,Lewis MacDougall|Sigourney Weaver|Felicity Jones
A Nightmare on Elm Street,1800000,1984,Horror,3.5,3.72,https://boxd.it/2aw0,91,Heather Langenkamp|Robert Englund|Johnny Depp
A Serbian Film,0,2010,Horror|Thriller|Crime,1.5,1.8,https://boxd.it/2wBc,104,Sr?an '�ika' Todorovi?|Sergej Trifunovi?|Jelena Gavrilovi?
Aladdin,28000000,1992,Adventure|Romance|Family|Fantasy|Animation,4,3.89,https://boxd.it/29yE,95,Scott Weinger|Robin Williams|Linda Larkin
Alien,10700000,1979,Horror|ScienceFiction,4.5,4.26,https://boxd.it/2awY,117,Tom Skerritt|Sigourney Weaver|Veronica Cartwright
Alien Resurrection,10700000,1997,ScienceFiction|Action|Horror,3,2.59,https://boxd.it/20zI,109,Sigourney Weaver|Winona Ryder|Dominique Pinon
Alien: Covenant,55000000,2017,ScienceFiction|Thriller|Horror,4.5,3.04,https://boxd.it/49UY,122,Michael Fassbender|Katherine Waterston|Billy Crudup
Alien³,55000000,1992,Horror|ScienceFiction|Action,3.5,2.82,https://boxd.it/20zS,114,Sigourney Weaver|Charles S. Dutton|Charles Dance
Aliens,17000000,1986,ScienceFiction|Horror|Thriller|Action,4,4.12,https://boxd.it/29PA,137,Sigourney Weaver|Carrie Henn|Michael Biehn
All Dogs Go to Heaven,13000000,1989,Family|Fantasy|Drama|Animation|Comedy,5,3.5,https://boxd.it/1TIo,89,Burt Reynolds|Dom DeLuise|Judith Barsi
American Pie,11000000,1999,Romance|Comedy,3,3.12,https://boxd.it/27qy,95,Jason Biggs|Chris Klein|Thomas Ian Nicholas
American Psycho,7000000,2000,Crime|Thriller|Horror|Drama,3.5,3.82,https://boxd.it/28Vs,102,Christian Bale|Justin Theroux|Josh Lucas
Annihilation,50000000,2018,Horror|ScienceFiction,3,3.57,https://boxd.it/9yzm,115,Natalie Portman|Jennifer Jason Leigh|Gina Rodriguez
Another Round,4600000,2020,Drama|Comedy,4,4.09,https://boxd.it/lkba,117,Mads Mikkelsen|Thomas Bo Larsen|Magnus Millang
Ant-Man,130000000,2015,Adventure|ScienceFiction|Action,3.5,3.22,https://boxd.it/3vmW,117,Paul Rudd|Michael Douglas|Evangeline Lilly
Arrival,47000000,2016,ScienceFiction|Mystery|Drama,4.5,4.13,https://boxd.it/aNGk,116,Amy Adams|Jeremy Renner|Forest Whitaker
As the Gods Will,0,2014,Horror|Thriller|Comedy,3.5,3.2,https://boxd.it/76T0,117,Sota Fukushi|Ryunosuke Kamiki|Hirona Yamazaki
Avatar,460000000,2009,Fantasy|ScienceFiction|Adventure|Action,3.5,3.64,https://boxd.it/1Efm,162,Sam Worthington|Zoe Salda�a|Sigourney Weaver
Avengers: Age of Ultron,365000000,2015,Action|Adventure|ScienceFiction,3,3.16,https://boxd.it/3qi6,141,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo
Avengers: Endgame,378000000,2019,ScienceFiction|Action|Adventure,4,3.9,https://boxd.it/9vE4,181,Robert Downey Jr.|Chris Evans|Mark Ruffalo
Avengers: Infinity War,362500000,2018,Action|ScienceFiction|Adventure,4,3.99,https://boxd.it/9vEe,149,Robert Downey Jr.|Chris Evans|Chris Hemsworth
Back to the Future,19000000,1985,Comedy|ScienceFiction|Adventure,4.5,4.2,https://boxd.it/2b8e,116,Michael J. Fox|Christopher Lloyd|Crispin Glover
Back to the Future Part II,40000000,1989,Comedy|ScienceFiction|Adventure,4,3.88,https://boxd.it/2aYI,108,Michael J. Fox|Christopher Lloyd|Lea Thompson
Back to the Future Part III,40000000,1990,ScienceFiction|Comedy|Adventure,3.5,3.55,https://boxd.it/2aTS,119,Michael J. Fox|Christopher Lloyd|Mary Steenburgen
Batman Begins,150000000,2005,Crime|Action|Drama,4.5,3.82,https://boxd.it/2aIg,140,Christian Bale|Michael Caine|Liam Neeson
Battle Royale,0,2000,Action|Thriller|Drama,4,3.86,https://boxd.it/25zS,113,Tatsuya Fujiwara|Aki Maeda|Takeshi Kitano
Being John Malkovich,13000000,1999,Comedy|Fantasy|Drama,5,4.07,https://boxd.it/2ahu,113,John Cusack|John Malkovich|Cameron Diaz
Black Mirror: Bandersnatch,0,2018,ScienceFiction|Thriller|Drama|TVMovie|Mystery,3.5,3.25,https://boxd.it/kTDG,90,Fionn Whitehead|Craig Parkinson|Alice Lowe
Black Mirror: Be Right Back,6600000,2013,Drama|Thriller|TVMovie|ScienceFiction,3.5,3.57,https://boxd.it/hRpw,48,Hayley Atwell|Domhnall Gleeson|Claire Keelan
Borat Subsequent Moviefilm,0,2020,Comedy,5,3.28,https://boxd.it/rNS0,96,Sacha Baron Cohen|Maria Bakalova|Tom Hanks
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,2006,Comedy,5,3.73,https://boxd.it/2agQ,84,Sacha Baron Cohen|Ken Davitian|Luenell
Bruce Almighty,81000000,2003,Comedy|Fantasy,3.5,3.23,https://boxd.it/2aCC,101,Jim Carrey|Morgan Freeman|Jennifer Aniston
Captain America: The First Avenger,140000000,2011,ScienceFiction|Action|Adventure,3.5,3.3,https://boxd.it/28b0,124,Chris Evans|Hayley Atwell|Sebastian Stan
Carrie,30000000,2013,Drama|Horror,2.5,2.54,https://boxd.it/4kC2,100,Chlo� Grace Moretz|Julianne Moore|Gabriella Wilde
Chernobyl,40000000,2019,Drama,4.5,4.59,https://boxd.it/mkbG,327,Jared Harris|Stellan Skarsg�rd|Emily Watson
Children of Men,76000000,2006,Action|Drama|ScienceFiction|Thriller,3,4.3,https://boxd.it/1Y2i,109,Clive Owen|Clare-Hope Ashitey|Chiwetel Ejiofor
Circle,0,2015,Thriller|Mystery|ScienceFiction|Horror|Drama,3.5,2.56,https://boxd.it/b5So,86,Julie Benz|Carter Jenkins|Cesar Garcia
Constantine,75000000,2005,Fantasy|Action|Horror,4.5,3.39,https://boxd.it/2a7E,121,Keanu Reeves|Rachel Weisz|Shia LaBeouf
Cube,250000,1997,Thriller|ScienceFiction|Mystery,4.5,3.27,https://boxd.it/2aoU,90,Nicole de Boer|Nicky Guadagni|Maurice Dean Wint
Cube 2: Hypercube,1400000,2002,Thriller|ScienceFiction|Mystery,3.5,2.28,https://boxd.it/2anW,94,Kari Matchett|Geraint Wyn Davies|Grace Lynn Kung
Cube Zero,0,2004,Mystery|ScienceFiction|Thriller,3.5,2.43,https://boxd.it/2anM,97,Zachary Bennett|Stephanie Moore|Michael Riley
Deja Vu,75000000,2006,ScienceFiction|Action|Thriller,3.5,3.42,https://boxd.it/20PQ,126,Denzel Washington|Paula Patton|Val Kilmer
DAHMER - Monster: The Jeffrey Dahmer Story,0,2022,Drama|Crime,4.5,3.61,https://boxd.it/CRG0,534,Evan Peters|Richard Jenkins|Molly Ringwald
Deadpool,58000000,2016,Action|Comedy|Adventure,4,3.68,https://boxd.it/9fOC,108,Ryan Reynolds|Morena Baccarin|Ed Skrein
Deadpool & Wolverine,200000000,2024,ScienceFiction|Action|Comedy,4,3.48,https://boxd.it/jq8s,128,Ryan Reynolds|Hugh Jackman|Emma Corrin
Deadpool 2,110000000,2018,Action|Comedy|Adventure,4,3.48,https://boxd.it/dlLM,120,Ryan Reynolds|Josh Brolin|Morena Baccarin
Death Note,0,2006,Animation|Mystery,5,4.37,https://boxd.it/psEs,851,Mamoru Miyano|Shido Nakamura|Aya Hirano
Detachment,0,2011,Drama,4.5,3.87,https://boxd.it/2BiY,98,Adrien Brody|Marcia Gay Harden|James Caan
Devil,10000000,2010,Horror|Thriller|Mystery,0,2.66,https://boxd.it/SX6,80,Chris Messina|Bojana Novakovi?|Jenny O'Hara
Doctor Strange,165000000,2016,Action|Adventure|Fantasy,4,3.46,https://boxd.it/8MH8,115,Benedict Cumberbatch|Chiwetel Ejiofor|Rachel McAdams
Don't Breathe,10000000,2016,Thriller|Horror,4,3.32,https://boxd.it/9yzw,89,Stephen Lang|Jane Levy|Dylan Minnette
Doom,70000000,2005,ScienceFiction|Horror|Action,3,2.06,https://boxd.it/1ZOW,105,Dwayne Johnson|Karl Urban|Rosamund Pike
Dudes Again!,0,2023,Comedy,2.5,2.64,https://boxd.it/Bj5i,90,Nikola ?uri?ko|Sergej Trifunovi?|Boris Milivojevi?
Dudes!,0,2001,Comedy,4,3.82,https://boxd.it/1xCI,90,Boris Milivojevi?|Sergej Trifunovi?|Maja Mand�uka
Dune,165000000,2021,ScienceFiction|Adventure,4,3.88,https://boxd.it/fA7G,155,Timoth�e Chalamet|Rebecca Ferguson|Oscar Isaac
Dune: Part Two,190000000,2024,Adventure|ScienceFiction,4.5,4.4,https://boxd.it/pUfA,167,Timoth�e Chalamet|Zendaya|Rebecca Ferguson
Edge of Tomorrow,178000000,2014,ScienceFiction|Action,4,3.76,https://boxd.it/4pD0,114,Tom Cruise|Emily Blunt|Bill Paxton
El Camino: A Breaking Bad Movie,6000000,2019,Crime|Drama|Thriller,3.5,3.57,https://boxd.it/kv0q,123,Aaron Paul|Jesse Plemons|Charles Baker
ERASED,0,2016,Drama|Mystery|Animation,5,4.12,https://boxd.it/px1A,287,Shinnosuke Mitsushima|Tao Tsuchiya|Minami Takayama
Ergo Proxy,0,2006,Mystery|Animation,4.5,4.08,https://boxd.it/pDni,575,Rie Saitou|Koji Yusa|Akiko Yajima
Everything Everywhere All at Once,25000000,2022,ScienceFiction|Adventure|Comedy|Action,5,4.28,https://boxd.it/jUk4,140,Michelle Yeoh|Stephanie Hsu|Ke Huy Quan
Evil Dead,17000000,2013,Horror,3.5,3.39,https://boxd.it/3GPq,91,Jane Levy|Shiloh Fernandez|Lou Taylor Pucci
Ex Machina,13000000,2015,ScienceFiction|Drama,4,3.97,https://boxd.it/7T2k,108,Domhnall Gleeson|Alicia Vikander|Oscar Isaac
Exam,600000,2009,Mystery|Thriller,3,2.91,https://boxd.it/1mn8,97,Luke Mably|Chukwudi Iwuji|Adar Beck
Fight Club,64000000,1999,Drama,4.5,4.27,https://boxd.it/2a9q,139,Edward Norton|Brad Pitt|Helena Bonham Carter
Final Destination,23000000,2000,Horror,4,3.17,https://boxd.it/1YrC,98,Devon Sawa|Ali Larter|Kerr Smith
Final Destination 2,26000000,2003,Mystery|Horror,3,2.91,https://boxd.it/1YSS,90,A. J. Cook|Ali Larter|Michael Landes
Final Destination 3,25000000,2006,Mystery|Horror,3.5,3.04,https://boxd.it/1Z40,93,Mary Elizabeth Winstead|Ryan Merriman|Kris Lemche
Final Destination 5,40000000,2011,Horror|Mystery,3,2.79,https://boxd.it/r1k,92,Nicholas D'Agosto|Emma Bell|Miles Fisher
Finding Nemo,94000000,2003,Animation|Family,4.5,4.04,https://boxd.it/72i,100,Albert Brooks|Ellen DeGeneres|Alexander Gould
Five Nights at Freddy's,20000000,2023,Horror|Mystery,2,2.56,https://boxd.it/ikHu,110,Josh Hutcherson|Piper Rubio|Elizabeth Lail
Forrest Gump,55000000,1994,Drama|Comedy|Romance,4.5,4.15,https://boxd.it/728,142,Tom Hanks|Robin Wright|Gary Sinise
Freddy vs. Jason,25000000,2003,Horror,2,2.72,https://boxd.it/21FC,97,Robert Englund|Ken Kirzinger|Monica Keena
Friday the 13th,550000,1980,Horror,3.5,3,https://boxd.it/24fs,95,Betsy Palmer|Adrienne King|Jeannine Taylor
Frozen,150000000,2013,Fantasy|Animation|Adventure|Family,3,3.44,https://boxd.it/3GNa,102,Kristen Bell|Idina Menzel|Jonathan Groff
Frozen Stiff,0,2002,Drama|Comedy,4.5,3.84,https://boxd.it/1Mtc,90,Nikola ?uri?ko|Sonja Kola?ari?|Tara Mani?
GANTZ:O,0,2016,ScienceFiction|Animation|Action,4,3.35,https://boxd.it/dRTI,95,Yuki Kaji|Daisuke Ono|Saori Hayami
Ghost in the Shell,0,1995,Animation|ScienceFiction|Action,4,4.09,https://boxd.it/1YYc,83,Atsuko Tanaka|Akio Otsuka|Iemasa Kayumi
Ghost in the Shell,110000000,2017,Drama|Action|ScienceFiction,3,2.6,https://boxd.it/abTA,107,Scarlett Johansson|Takeshi Kitano|Michael Pitt
Ghost Rider,120000000,2007,Fantasy|Thriller|Action,3.5,2.42,https://boxd.it/290M,114,Nicolas Cage|Eva Mendes|Sam Elliott
Ghost Rider: Spirit of Vengeance,50000000,2011,Action|Thriller|Fantasy,2.5,1.87,https://boxd.it/2qne,96,Nicolas Cage|Fergus Riordan|Violante Placido
Gravity,110000000,2013,Thriller|Drama|ScienceFiction,3.5,3.51,https://boxd.it/GZY,91,Sandra Bullock|George Clooney|Ed Harris
Green Lantern,200000000,2011,Thriller|Action|Adventure|ScienceFiction,2.5,1.57,https://boxd.it/QN4,114,Ryan Reynolds|Blake Lively|Peter Sarsgaard
Guardians of the Galaxy,170000000,2014,Adventure|Action|ScienceFiction,4,3.8,https://boxd.it/3VH2,121,Chris Pratt|Zoe Salda�a|Dave Bautista
Guardians of the Galaxy Vol. 2,200000000,2017,Action|ScienceFiction|Adventure,3.5,3.53,https://boxd.it/8MxC,137,Chris Pratt|Zoe Salda�a|Dave Bautista
Guardians of the Galaxy Vol. 3,250000000,2023,Action|Adventure|ScienceFiction,4,3.95,https://boxd.it/fVNI,150,Chris Pratt|Zoe Salda�a|Dave Bautista
