Date,Name,Year,Letterboxd URI,Rating
2024-09-20,Deadpool & Wolverine,2024,https://boxd.it/jq8s,4
2024-09-20,Interstellar,2014,https://boxd.it/4VZ8,5
2024-09-20,Hellraiser,1987,https://boxd.it/1Zpi,5
2024-09-20,Hellraiser III: Hell on Earth,1992,https://boxd.it/1TwW,3
2024-09-20,Hellraiser: Bloodline,1996,https://boxd.it/1ZSk,3
2024-09-20,Hellraiser: Inferno,2000,https://boxd.it/1RCe,4
2024-09-20,Hellraiser: Hellworld,2005,https://boxd.it/1Rom,3
2024-09-20,Hellraiser: Hellseeker,2002,https://boxd.it/1Uh4,3
2024-09-20,Hellraiser: Deader,2005,https://boxd.it/1IEA,3
2024-09-20,Hellraiser: Revelations,2011,https://boxd.it/2ta8,3
2024-09-20,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,4
2024-09-20,The Village,2004,https://boxd.it/21iS,3
2024-09-21,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2
2024-09-21,Dune,2021,https://boxd.it/fA7G,4
2024-09-21,The Queen's Gambit,2020,https://boxd.it/s1Ym,4
2024-09-21,Parasite,2019,https://boxd.it/hTha,4.5
2024-09-21,A Monster Calls,2016,https://boxd.it/7DjE,5
2024-09-21,Nerve,2016,https://boxd.it/aJIc,2
2024-09-21,Train to Busan,2016,https://boxd.it/dSQU,3.5
2024-09-21,Over the Garden Wall,2014,https://boxd.it/eqFw,5
2024-09-21,The Conjuring,2013,https://boxd.it/4sr2,3.5
2024-09-21,Detachment,2011,https://boxd.it/2BiY,4.5
2024-09-21,Inception,2010,https://boxd.it/1skk,5
2024-09-21,Shutter Island,2010,https://boxd.it/1U82,5
2024-09-21,The Butterfly Effect,2004,https://boxd.it/27M0,5
2024-09-21,13 Sins,2014,https://boxd.it/4Ste,3.5
2024-09-21,Would You Rather,2012,https://boxd.it/3m0W,3
2024-09-21,Circle,2015,https://boxd.it/b5So,3.5
2024-09-21,Exam,2009,https://boxd.it/1mn8,3
2024-09-21,The Platform,2019,https://boxd.it/mUm6,4.5
2024-09-21,Time Lapse,2014,https://boxd.it/8hCQ,3.5
2024-09-21,Project Almanac,2015,https://boxd.it/6IP4,3
2024-09-21,The Maze Runner,2014,https://boxd.it/5YPM,4.5
2024-09-21,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,2
2024-09-21,Source Code,2011,https://boxd.it/fdo,4
2024-09-21,Limitless,2011,https://boxd.it/Aly,4.5
2024-09-21,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,5
2024-09-21,Cube,1997,https://boxd.it/2aoU,4.5
2024-09-21,Cube 2: Hypercube,2002,https://boxd.it/2anW,3.5
2024-09-21,Cube Zero,2004,https://boxd.it/2anM,3.5
2024-09-21,Carrie,2013,https://boxd.it/4kC2,2.5
2024-09-21,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,3.5
2024-09-21,Freddy vs. Jason,2003,https://boxd.it/21FC,2
2024-09-21,Friday the 13th,1980,https://boxd.it/24fs,3.5
2024-09-21,Final Destination,2000,https://boxd.it/1YrC,4
2024-09-21,Final Destination 2,2003,https://boxd.it/1YSS,3
2024-09-21,Final Destination 3,2006,https://boxd.it/1Z40,3.5
2024-09-21,The Final Destination,2009,https://boxd.it/1EmW,2.5
2024-09-21,Final Destination 5,2011,https://boxd.it/r1k,3
2024-09-21,Scary Movie,2000,https://boxd.it/24CG,3.5
