Name,Budget,Year,Genre,Rating,Letterboxd URI,Length
13 Sins,"$4,000,000",2014,web scr,3.5,https://boxd.it/4Ste,web scr
A Monster Calls,"$43,000,000",2016,,5,https://boxd.it/7DjE,
A Nightmare on Elm Street,"$1,800,000",1984,,3.5,https://boxd.it/2aw0,
A Serbian Film,$0,2010,,1.5,https://boxd.it/2wBc,
Aladdin,"$28,000,000",1992,,4,https://boxd.it/29yE,
Alien,"$10,700,000",1979,,4.5,https://boxd.it/2awY,
Alien Resurrection,"$10,700,000",1997,,3,https://boxd.it/20zI,
Alien: Covenant,"$55,000,000",2017,,4.5,https://boxd.it/49UY,
Alien³,"$55,000,000",1992,,3.5,https://boxd.it/20zS,
Aliens,"$17,000,000",1986,,4,https://boxd.it/29PA,
All Dogs Go to Heaven,"$13,000,000",1989,,5,https://boxd.it/1TIo,
American Pie,"$11,000,000",1999,,3,https://boxd.it/27qy,
American Psycho,"$7,000,000",2000,,3.5,https://boxd.it/28Vs,
Annihilation,"$50,000,000",2018,,3,https://boxd.it/9yzm,
Another Round,"$4,600,000",2020,,4,https://boxd.it/lkba,
Ant-Man,"$130,000,000",2015,,3.5,https://boxd.it/3vmW,
Arrival,"$47,000,000",2016,,4.5,https://boxd.it/aNGk,
As the Gods Will,$0,2014,,3.5,https://boxd.it/76T0,
Avatar,"$460,000,000",2009,,3.5,https://boxd.it/1Efm,
Avengers: Age of Ultron,"$365,000,000",2015,,3,https://boxd.it/3qi6,
Avengers: Endgame,"$378,000,000",2019,,4,https://boxd.it/9vE4,
Avengers: Infinity War,"$362,500,000",2018,,4,https://boxd.it/9vEe,
Back to the Future,"$19,000,000",1985,,4.5,https://boxd.it/2b8e,
Back to the Future Part II,"$40,000,000",1989,,4,https://boxd.it/2aYI,
Back to the Future Part III,"$40,000,000",1990,,3.5,https://boxd.it/2aTS,
Batman Begins,"$150,000,000",2005,,4.5,https://boxd.it/2aIg,
Battle Royale,$0,2000,,4,https://boxd.it/25zS,
Being John Malkovich,"$13,000,000",1999,,5,https://boxd.it/2ahu,
Black Mirror: Bandersnatch,$0,2018,,3.5,https://boxd.it/kTDG,
Black Mirror: Be Right Back,"$6,600,000",2013,,3.5,https://boxd.it/hRpw,
Borat Subsequent Moviefilm,$0,2020,,5,https://boxd.it/rNS0,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$18,000,000",2006,,5,https://boxd.it/2agQ,
Bruce Almighty,"$81,000,000",2003,,3.5,https://boxd.it/2aCC,
Captain America: The First Avenger,"$140,000,000",2011,,3.5,https://boxd.it/28b0,
Carrie,"$30,000,000",2013,,2.5,https://boxd.it/4kC2,
Chernobyl,"$40,000,000",2019,,4.5,https://boxd.it/mkbG,
Children of Men,"$76,000,000",2006,,3,https://boxd.it/1Y2i,
Circle,$0,2015,,3.5,https://boxd.it/b5So,
Constantine,"$75,000,000",2005,,4.5,https://boxd.it/2a7E,
Cube,"$250,000",1997,,4.5,https://boxd.it/2aoU,
Cube 2: Hypercube,"$1,400,000",2002,,3.5,https://boxd.it/2anW,
Cube Zero,$0,2004,,3.5,https://boxd.it/2anM,
Deja Vu,"$75,000,000",2006,,3.5,https://boxd.it/20PQ,
DAHMER - Monster: The Jeffrey Dahmer Story,$0,2022,,4.5,https://boxd.it/CRG0,
Deadpool,"$58,000,000",2016,,4,https://boxd.it/9fOC,
Deadpool & Wolverine,"$200,000,000",2024,,4,https://boxd.it/jq8s,
Deadpool 2,"$110,000,000",2018,,4,https://boxd.it/dlLM,
Death Note,$0,2006,,5,https://boxd.it/psEs,
Detachment,$0,2011,,4.5,https://boxd.it/2BiY,
Devil,"$10,000,000",2010,,0,https://boxd.it/SX6,
Doctor Strange,"$165,000,000",2016,,4,https://boxd.it/8MH8,
Don't Breathe,"$10,000,000",2016,,4,https://boxd.it/9yzw,
Doom,"$70,000,000",2005,,3,https://boxd.it/1ZOW,
Dudes Again!,$0,2023,,2.5,https://boxd.it/Bj5i,
Dudes!,$0,2001,,4,https://boxd.it/1xCI,
Dune,"$165,000,000",2021,,4,https://boxd.it/fA7G,
Dune: Part Two,"$190,000,000",2024,,4.5,https://boxd.it/pUfA,
Edge of Tomorrow,"$178,000,000",2014,,4,https://boxd.it/4pD0,
El Camino: A Breaking Bad Movie,"$6,000,000",2019,,3.5,https://boxd.it/kv0q,
ERASED,$0,2016,,5,https://boxd.it/px1A,
Ergo Proxy,$0,2006,,4.5,https://boxd.it/pDni,
Everything Everywhere All at Once,"$25,000,000",2022,,5,https://boxd.it/jUk4,
Evil Dead,"$17,000,000",2013,,3.5,https://boxd.it/3GPq,
Ex Machina,"$13,000,000",2015,,4,https://boxd.it/7T2k,
Exam,"$600,000",2009,,3,https://boxd.it/1mn8,
Fight Club,"$64,000,000",1999,,4.5,https://boxd.it/2a9q,
Final Destination,"$23,000,000",2000,,4,https://boxd.it/1YrC,
Final Destination 2,"$26,000,000",2003,,3,https://boxd.it/1YSS,
Final Destination 3,"$25,000,000",2006,,3.5,https://boxd.it/1Z40,
Final Destination 5,"$40,000,000",2011,,3,https://boxd.it/r1k,
Finding Nemo,"$94,000,000",2003,,4.5,https://boxd.it/72i,
Five Nights at Freddy's,"$20,000,000",2023,,2,https://boxd.it/ikHu,
Forrest Gump,"$55,000,000",1994,,4.5,https://boxd.it/728,
Freddy vs. Jason,"$25,000,000",2003,,2,https://boxd.it/21FC,
Friday the 13th,"$550,000",1980,,3.5,https://boxd.it/24fs,
Frozen,"$150,000,000",2013,,3,https://boxd.it/3GNa,
