Date,Name,Year,Letterboxd URI
2024-09-21,Alien: Romulus,2024,https://boxd.it/zGqO
2024-09-21,The Thing,1982,https://boxd.it/294O
2024-09-21,The Mist,2007,https://boxd.it/22r2
2024-09-21,Bird Box,2018,https://boxd.it/eh1i
2024-09-21,A Quiet Place,2018,https://boxd.it/fVJQ
2024-09-21,Dead Poets Society,1989,https://boxd.it/2aSg
2024-09-21,Grave of the Fireflies,1988,https://boxd.it/1RUM
2024-09-21,The Godfather Part II,1974,https://boxd.it/2aNq
2024-09-22,Midsommar,2019,https://boxd.it/jhxe
2024-09-22,Uncut Gems,2019,https://boxd.it/gXGc
2024-09-22,Uncharted,2022,https://boxd.it/b5Dy
2024-09-22,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2024-09-22,Donnie Darko,2001,https://boxd.it/2b2A
2024-09-22,Hannibal,2001,https://boxd.it/1XVc
2024-09-22,Good Will Hunting,1997,https://boxd.it/2ahY
2024-09-22,Perfect Blue,1997,https://boxd.it/1W7A
2024-09-22,Léon: The Professional,1994,https://boxd.it/2b8S
2024-09-22,Schindler's List,1993,https://boxd.it/2aq2
2024-09-22,The Bridges of Madison County,1995,https://boxd.it/29Os
2024-09-22,Paprika,2006,https://boxd.it/23wW
2024-09-23,Saw XI,2025,https://boxd.it/JOHy
2024-09-23,Run,2020,https://boxd.it/jVM4
2024-09-25,Sound of Metal,2019,https://boxd.it/i7Q4
2024-09-27,Incendies,2010,https://boxd.it/Msm
2024-10-15,Crimes of the Future,2022,https://boxd.it/uTuY
2024-10-15,Get Out,2017,https://boxd.it/eOCm
2024-10-16,The Fly,1986,https://boxd.it/1YIe
2024-10-16,The Descent,2005,https://boxd.it/1YNy
2024-10-16,Smile,2022,https://boxd.it/xjfE
2024-10-16,Oblivion,2013,https://boxd.it/2Bzq
2024-10-16,Pandorum,2009,https://boxd.it/1Eo4
2024-10-16,Blade Runner 2049,2017,https://boxd.it/b8wK
2024-10-16,Blade Runner,1982,https://boxd.it/2bcA
2024-10-19,Kinds of Kindness,2024,https://boxd.it/CWPw
2024-10-19,Incantation,2022,https://boxd.it/wFiI
2024-10-20,Patch Adams,1998,https://boxd.it/1Wzk
2024-10-20,Groundhog Day,1993,https://boxd.it/2b3e
2024-10-21,In Bruges,2008,https://boxd.it/20n8
2024-10-21,Alien,1979,https://boxd.it/2awY
2024-10-21,Aliens,1986,https://boxd.it/29PA
2024-10-21,Alien³,1992,https://boxd.it/20zS
2024-10-21,Alien Resurrection,1997,https://boxd.it/20zI
2024-10-24,Last and First Men,2020,https://boxd.it/kKi0
2024-10-24,The Midnight Sky,2020,https://boxd.it/mK6C
2024-10-24,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-10-24,2010,1984,https://boxd.it/24lK
2024-10-24,Mission to Mars,2000,https://boxd.it/27w2
2024-10-24,Europa Report,2013,https://boxd.it/5n0s
2024-10-25,No Country for Old Men,2007,https://boxd.it/21ew
2024-10-31,The Pianist,2002,https://boxd.it/2aqc
2024-11-06,Rear Window,1954,https://boxd.it/2a6Q
2024-11-07,Jerry & Marge Go Large,2022,https://boxd.it/vPf8
2024-11-11,Heretic,2024,https://boxd.it/H1lY
2024-11-14,mother!,2017,https://boxd.it/dgRU
2024-11-21,Caddo Lake,2024,https://boxd.it/wDSu
2024-11-25,Whiplash,2014,https://boxd.it/7bQA
2024-12-02,Suspiria,2018,https://boxd.it/cioI
2024-12-05,When the Wind Blows,1986,https://boxd.it/1VdC
2024-12-05,The Holy Mountain,1973,https://boxd.it/20mu
2024-12-07,Don't Look Up,2021,https://boxd.it/o0Hc
2024-12-29,The Empty Man,2020,https://boxd.it/iIWS
2025-01-05,One Hour Photo,2002,https://boxd.it/1YT2
2025-01-11,Three Thousand Years of Longing,2022,https://boxd.it/kmoy
2025-01-12,Next to You,2023,https://boxd.it/vG7O
2025-01-13,National Theatre Live: Prima Facie,2022,https://boxd.it/Ao48
2025-01-13,Dark Is the Night,1995,https://boxd.it/eAwa
2025-01-13,La Chimera,2023,https://boxd.it/vzVi
2025-01-13,Infinity Pool,2023,https://boxd.it/oPSK
2025-01-13,Fear,1996,https://boxd.it/1W0a
